SourceFile,LineNumber,ExtractedLine,OfferName,PriceIfPresent,OfferLane,Notes
public/analysis/kenya-fuel-shock-worker-mobility.html,25,Route the issue to a paid briefing or memo when the public story needs practical interpretation.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,25,View briefing path,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,26,Request the starter brief,Black World Intelligence Starter Brief,NOT FOUND IN LOCAL FILES,Lead capture / Starter brief,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,16,How Media Analysis Becomes a Content-to-Revenue System,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,16,"A serious media operation needs more than posts. It needs offers, CTAs, follow-up, lead tracking, and a clear path from attention to revenue.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,18,"Public media can attract attention without creating revenue. The difference is system design. A content-to-revenue system connects source material, publishing, audience behavior, offer language, inquiry capture, and delivery capacity.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,19,The audit question,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,19,"A media intelligence audit asks where the system leaks. Are the strongest topics attached to offers? Are viewers told what to do next? Are inquiries logged? Are dossiers supporting trust? Are serious leads routed to briefings, memos, or audits?",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,20,Gumroad assets and paid product fit.,Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,20,Thirty-day priorities for revenue and control.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,General site action,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,21,The website should model the same system it sells. Analysis builds trust. Work explains offers. Contact qualifies inquiries. Tracking files connect action to follow-up.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,22,"Request a media intelligence audit when the problem is not one article, but the whole audience-to-revenue path.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,22,Request an audit,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,23,Public analysis to paid intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/media-analysis-content-revenue-system.html,23,Audit offer,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,20,"Diaspora audiences often discuss investment after the fact, when the deal is already shaped. The better question is earlier: what infrastructure controls the price of life, the cost of business, and the margin available for Black capital formation?",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,21,Where public analysis becomes paid intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,21,"A public article can identify the pattern. A paid memo can go further: map stakeholders, track policy risk, identify audience implications, and define a decision path for a creator, investor, institution, or campaign.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,23,"This is a memo-grade issue when the buyer needs stakeholder mapping, policy context, or a country-specific decision read.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,23,"Custom memo: refinery politics, import exposure, and audience implications.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,23,"Briefing: what changed this week, and why it matters to Black capital.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,24,Need an energy-security memo?,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,24,"Turn the public issue into a structured paid memo for your market, audience, or project.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/nigeria-refinery-ownership-energy-security.html,24,View memo path,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,20,"Public analysis matters most when it helps serious readers understand what is changing, why it matters, and what kind of paid intelligence they may need next.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,24,"The public audience first meets the work through videos, posts, essays, and dossiers. Those surfaces build trust. The paid work begins when a reader needs the analysis applied to a real decision: a campaign, media project, organizational question, research direction, or briefing need.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,29,"A public article can explain the terrain. A paid briefing or memo can interpret the terrain for a specific decision. That distinction is central to the business model: public trust leads to dossiers, briefings, custom memos, and system audits.",Media / intelligence system audit,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,30,"Email with the decision, deadline, and context so the inquiry can be routed to a briefing, memo, or audit.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,30,Start a qualified inquiry,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,31,From public analysis to paid intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,31,View paid work,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/strategic-clarity-changing-pan-african-world.html,31,Contact for inquiry,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/why-east-africa-matters-diaspora-intelligence.html,22,"Readers, organizations, and media operators often need help turning a broad regional story into a decision-ready memo or briefing. East Africa offers a strong base for that work because the region makes the link between geography, trade, and power visible.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/why-east-africa-matters-diaspora-intelligence.html,23,Request a paid Pan-African briefing or custom memo when a regional question needs structured interpretation.,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/why-east-africa-matters-diaspora-intelligence.html,23,Request a briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/why-east-africa-matters-diaspora-intelligence.html,24,View paid work,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/contact.html,82,Start a qualified inquiry,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/contact.html,85,"For paid briefings, custom intelligence memos, media questions, or serious collaboration inquiries, include the objective, deadline, and decision you need support with.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/contact.html,101,Inquiry helper,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/contact.html,107,"Fastest routing: choose briefing for urgent interpretation, memo for written synthesis, and audit for content-to-revenue systems.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/contact.html,112,Inquiry type,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/coverage/afro-europe.html,8,Dossier or media audit.,Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/afro-europe.html,8,"Best paid next step: a regional dossier for readers, or a media/intelligence audit for organizations working across Europe, Africa, and diaspora publics.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/afro-europe.html,10,Request an Afro-Europe briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/coverage/afro-latino.html,8,Memo or regional dossier.,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/afro-latino.html,8,"Best paid next step: a memo on a specific country or issue, then a regional dossier that introduces Afro-Latino power to the wider audience.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/afro-latino.html,10,Request an Afro-Latino memo,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/coverage/black-america.html,8,Briefing or media audit.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/coverage/black-america.html,8,Best paid next step: a briefing for a specific decision or a media/intelligence audit for creators and organizations trying to convert audience attention into durable leverage.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/coverage/black-america.html,10,"Starting sources include Pew's Black immigrant research and CFR Americas-style regional/topic organization. The paid analysis layer translates demographic and policy signals into strategy for readers, creators, and institutions.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/coverage/black-america.html,10,Request a Black America briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/coverage/black-caribbean.html,8,Dossier or briefing.,Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/black-caribbean.html,8,"Best paid next step: a Black Caribbean dossier for strategic overview, or a briefing when the reader needs Haiti, climate, security, migration, or external-relations interpretation.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/black-caribbean.html,10,Starting sources include CARICOM public priorities and regional climate/displacement coordination. Ali's paid layer turns those public signals into strategic interpretation for diaspora readers and organizations.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/coverage/black-caribbean.html,10,Request a Black Caribbean briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/coverage/index.html,79,Revenue path,General offer / revenue reference,NOT FOUND IN LOCAL FILES,General site action,Offer or revenue reference found in public page copy.
public/coverage/index.html,84,Low-ticket: regional dossiers and focused briefing packs.,Briefing Pack,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/index.html,85,Mid-ticket: recurring Black World Briefing membership.,Membership,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/coverage/index.html,87,Request a briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/coverage/sub-saharan-africa.html,8,Dossier or custom memo.,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/sub-saharan-africa.html,8,"Best paid next step: a Sub-Saharan Africa dossier for general readers, or a custom memo when a reader has a specific country, corridor, institution, or decision question.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/coverage/sub-saharan-africa.html,10,Request a Sub-Saharan Africa briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/index.html,78,Pan-African intelligence for people turning public analysis into paid action.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/index.html,85,Request a briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/index.html,99,Starter brief,Black World Intelligence Starter Brief,NOT FOUND IN LOCAL FILES,Lead capture / Starter brief,Offer or revenue reference found in public page copy.
public/index.html,101,Paid memo lane,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/index.html,102,Gumroad dossier path,Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/index.html,103,Qualified inquiry,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/index.html,113,Public reading paths that lead to paid depth,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/index.html,141,"The coverage model follows foreign-affairs discipline: regions, topics, watchlists, evidence, and paid next steps. The aim is not simply commentary; it is qualified action.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Coverage discovery,Offer or revenue reference found in public page copy.
